model,total_params,trainable_params,flops,thop_params,avg_time_s,std_time_s,throughput_samples_per_s,batch_size,device
DFN,9663588,9663588,,,0.0007311936020851135,1.964260160743504e-05,10941.014769804799,8,cuda
netA,9579350,9579350,,,0.00026483360156416894,5.9613323011130545e-05,30207.647189594285,8,cuda
netB,82432,82432,,,0.00024385439977049828,5.959587952532748e-05,32806.46159154454,8,cuda
netC,387,387,,,0.00020027680024504662,4.4282070396631674e-05,39944.71646347296,8,cuda
netD,1806,1806,,,0.00016803840175271033,3.256379372354807e-05,47608.16525601694,8,cuda
netF_sim,1806,1806,,,0.00018905120193958282,5.413971034344812e-05,42316.57835508842,8,cuda
