model,total_params,trainable_params,flops,thop_params,avg_time_s,std_time_s,throughput_samples_per_s,batch_size,device
DFN,9663588,9663588,,,0.0007373824000358581,4.167554287786716e-05,10849.187612303966,8,cuda
netA,9579350,9579350,,,0.0002099007986485958,2.507580541147561e-05,38113.24231020747,8,cuda
netB,82432,82432,,,0.00023327200040221214,3.240353323957314e-05,34294.728841036405,8,cuda
netC,387,387,,,0.00021022560000419618,5.620047221811214e-06,38054.35684255541,8,cuda
netD,1806,1806,,,0.0002199040003120899,1.8872944891499782e-05,36379.5110077412,8,cuda
netF_sim,1806,1806,,,0.00018719360008835793,5.3821535018065155e-05,42736.503791923926,8,cuda
