model,total_params,trainable_params,flops,thop_params,avg_time_s,std_time_s,throughput_samples_per_s,batch_size,device
DFN,9663588,9663588,19303240,,0.0006589616030454635,4.850590833548547e-05,12140.312824035756,8,cuda
netA,9579350,9579350,19139400,,0.00024700159654021263,2.4063194980470547e-05,32388.454617529467,8,cuda
netB,82432,82432,163840,,0.00025638239979743955,1.0019344314421957e-05,31203.38996093559,8,cuda
netC,387,387,0,,0.00016546559929847717,5.523132532497282e-05,48348.41824474404,8,cuda
netD,1806,1806,0,,0.00013342719972133637,6.621249419340833e-06,59957.789841262165,8,cuda
netF_sim,1806,1806,0,,0.00015877119824290277,4.429729080936677e-05,50386.972502159144,8,cuda
