model,total_params,trainable_params,flops,thop_params,avg_time_s,std_time_s,throughput_samples_per_s,batch_size,device
DFN,9663588,9663588,,,0.0006247264042496682,6.950805345477645e-05,12805.60569487767,8,cuda
netA,9579350,9579350,,,0.00023267999961972235,4.865891127226575e-05,34381.98389665936,8,cuda
netB,82432,82432,,,0.0002874943993985653,0.0003153305104703547,27826.629029072916,8,cuda
netC,387,387,,,0.00021008000075817108,3.0121089496104116e-05,38080.731012606106,8,cuda
netD,1806,1806,,,0.00021136000081896781,2.8524982341525798e-05,37850.11340368081,8,cuda
netF_sim,1806,1806,,,0.00019510719925165177,3.0055104079483428e-05,41003.09999161793,8,cuda
